,attraction_id,attraction_name,total_upcoming_attraction_events,upcoming_attraction_ticketmaster_events,attraction_genre
103,K8vZ917QwPV,Bikini Bottom Rave,5,5,Dance/Electronic
104,K8vZ91750Q7,Lalah Hathaway,10,5,R&B
105,K8vZ917KUtV,Jordan Davis,18,16,Country
106,K8vZ917_flV,Morgan Wade,48,17,Country
107,K8vZ917GH2f,Vic DiBitetto,7,6,Comedy
108,K8vZ917GFEf,Trevor Hall,8,7,Rock
109,K8vZ91712O0,Night Ranger,17,15,Rock
110,K8vZ917btUV,Larry Fleet,14,12,Country
111,K8vZ917GI37,The Molly Ringwalds,6,4,Undefined
112,K8vZ9171K7V,Nitty Gritty Dirt Band,14,11,Country
113,K8vZ917Cgd7,Neal Brennan,20,16,Comedy
114,K8vZ9171qQ0,Robbie Williams,25,10,Rock
115,K8vZ9171me0,Lettuce,15,7,Rock
116,K8vZ91718lf,Herman's Hermits,9,6,Rock
117,K8vZ917Q0Zf,Bailey Zimmerman,54,53,Country
118,K8vZ9171IV0,Lang Lang,3,1,Classical
119,K8vZ917ooF0,Kaytranada,15,4,Dance/Electronic
120,K8vZ9179pMf,Inhaler,59,44,Rock
121,K8vZ917Cg7V,The Black Academy of Arts and Letters,56,56,Miscellaneous Theatre
122,K8vZ917CBTV,Thundercat,5,4,Dance/Electronic
123,K8vZ917bgU0,Tootsie (touring),39,39,Theatre
124,K8vZ9174y6f,NAV,27,22,Hip-Hop/Rap
125,K8vZ9171LWf,Ginuwine,13,12,R&B
126,K8vZ917GCEV,Broadway Dallas,58,58,Theatre
127,K8vZ9179uW0,King Princess,11,11,Pop
128,K8vZ9172tvf,Death Grips,27,18,Hip-Hop/Rap
129,K8vZ917CtA0,Adrián Uribe,2,2,Comedy
130,K8vZ9171Q67,Built To Spill,19,11,Rock
131,K8vZ917GenV,Stephen Marley,8,7,Reggae
132,K8vZ9178m0f,Knuckle Puck,25,14,Rock
133,K8vZ91745V0,Ashley McBryde,7,3,Country
134,K8vZ917GDWV,The White Buffalo,7,6,Rock
135,K8vZ9171WSV,Drive-By Truckers,19,15,Rock
136,K8vZ9171sx7,Gary Owen,34,13,Comedy
137,K8vZ9175_h0,Zucchero,6,4,Rock
138,K8vZ9171zYf,Jeff Ross,19,10,Comedy
139,K8vZ917Qea7,P1Harmony,12,11,Pop
140,K8vZ91712df,Jefferson Starship,14,12,Rock
141,K8vZ917p1C7,War On The Catwalk,2,2,Performance Art
142,K8vZ917QS40,International Anime Music Festival,32,16,Undefined
143,K8vZ917GCPf,Hollywood Undead,14,14,Rock
144,K8vZ91782qf,Real Friends,26,15,Rock
145,K8vZ917KzlV,Elderbrook,33,16,Dance/Electronic
146,K8vZ917fYXf,Muscadine Bloodline,6,3,Country
147,K8vZ917QKLf,Stephen Sanchez,19,8,Rock
148,K8vZ917bK50,Chiiild,12,9,R&B
149,K8vZ917o3HV,The Winery Dogs,17,9,Rock
150,K8vZ9173Naf,Alvvays,27,20,Rock
